channel,offset_khz,db_rel_median
36,-12.5647,0.56679
36,-12.5408,0.572269
36,-12.517,0.574205
36,-12.4931,0.577827
36,-12.4693,0.577781
36,-12.4454,0.569166
36,-12.4216,0.574239
36,-12.3978,0.571581
36,-12.3739,0.572472
36,-12.3501,0.573332
36,-12.3262,0.571752
36,-12.3024,0.581408
36,-12.2786,0.581907
36,-12.2547,0.578559
36,-12.2309,0.570939
36,-12.207,0.57227
36,-12.1832,0.56781
36,-12.1593,0.573965
36,-12.1355,0.569187
36,-12.1117,0.575476
36,-12.0878,0.57983
36,-12.064,0.581013
36,-12.0401,0.571628
36,-12.0163,0.580143
36,-11.9925,0.579162
36,-11.9686,0.576939
36,-11.9448,0.577014
36,-11.9209,0.576439
36,-11.8971,0.57891
36,-11.8732,0.574177
36,-11.8494,0.577506
36,-11.8256,0.575842
36,-11.8017,0.576246
36,-11.7779,0.579061
36,-11.754,0.577987
36,-11.7302,0.575535
36,-11.7064,0.581432
36,-11.6825,0.576639
36,-11.6587,0.582426
36,-11.6348,0.575368
36,-11.611,0.580178
36,-11.5871,0.57894
36,-11.5633,0.580553
36,-11.5395,0.572221
36,-11.5156,0.580913
36,-11.4918,0.575529
36,-11.4679,0.58253
36,-11.4441,0.572658
36,-11.4202,0.586974
36,-11.3964,0.574733
36,-11.3726,0.57592
36,-11.3487,0.578906
36,-11.3249,0.583961
36,-11.301,0.575161
36,-11.2772,0.582575
36,-11.2534,0.581863
36,-11.2295,0.575845
36,-11.2057,0.580425
36,-11.1818,0.578999
36,-11.158,0.579898
36,-11.1341,0.574708
36,-11.1103,0.581989
36,-11.0865,0.581495
36,-11.0626,0.577512
36,-11.0388,0.581283
36,-11.0149,0.583476
36,-10.9911,0.580332
36,-10.9673,0.574355
36,-10.9434,0.58335
36,-10.9196,0.583642
36,-10.8957,0.57885
36,-10.8719,0.581468
36,-10.848,0.581224
36,-10.8242,0.583078
36,-10.8004,0.58421
36,-10.7765,0.587429
36,-10.7527,0.58197
36,-10.7288,0.581962
36,-10.705,0.585526
36,-10.6812,0.581985
36,-10.6573,0.586267
36,-10.6335,0.581369
36,-10.6096,0.582854
36,-10.5858,0.583545
36,-10.5619,0.583328
36,-10.5381,0.583448
36,-10.5143,0.584447
36,-10.4904,0.585763
36,-10.4666,0.582271
36,-10.4427,0.583141
36,-10.4189,0.581775
36,-10.3951,0.575526
36,-10.3712,0.585686
36,-10.3474,0.582419
36,-10.3235,0.587385
36,-10.2997,0.588619
36,-10.2758,0.586161
36,-10.252,0.577863
36,-10.2282,0.588919
36,-10.2043,0.587483
36,-10.1805,0.582807
36,-10.1566,0.588969
36,-10.1328,0.579445
36,-10.1089,0.582409
36,-10.0851,0.583916
36,-10.0613,0.587028
36,-10.0374,0.584671
36,-10.0136,0.586456
36,-9.98974,0.584431
36,-9.9659,0.58427
36,-9.94205,0.582377
36,-9.91821,0.590141
36,-9.89437,0.587141
36,-9.87053,0.587051
36,-9.84669,0.578733
36,-9.82285,0.585525
36,-9.799,0.591749
36,-9.77516,0.590032
36,-9.75132,0.587765
36,-9.72748,0.590658
36,-9.70364,0.584914
36,-9.67979,0.594724
36,-9.65595,0.587204
36,-9.63211,0.58963
36,-9.60827,0.583902
36,-9.58443,0.585172
36,-9.56059,0.596881
36,-9.53674,0.587768
36,-9.5129,0.586902
36,-9.48906,0.584802
36,-9.46522,0.588486
36,-9.44138,0.58606
36,-9.41753,0.589151
36,-9.39369,0.585995
36,-9.36985,0.589812
36,-9.34601,0.5968
36,-9.32217,0.587116
36,-9.29832,0.584545
36,-9.27448,0.590962
36,-9.25064,0.590184
36,-9.2268,0.588407
36,-9.20296,0.583501
36,-9.17912,0.594943
36,-9.15527,0.58812
36,-9.13143,0.585654
36,-9.10759,0.590173
36,-9.08375,0.591243
36,-9.05991,0.589763
36,-9.03606,0.5904
36,-9.01222,0.588919
36,-8.98838,0.584026
36,-8.96454,0.593077
36,-8.9407,0.593397
36,-8.91685,0.588352
36,-8.89301,0.585813
36,-8.86917,0.589347
36,-8.84533,0.583777
36,-8.82149,0.591438
36,-8.79765,0.586881
36,-8.7738,0.590277
36,-8.74996,0.591656
36,-8.72612,0.591818
36,-8.70228,0.597619
36,-8.67844,0.584357
36,-8.65459,0.589714
